Fecha Bajada,ID,Consulta1[CUIT],Consulta1[NombreDist],Consulta1[Fechacreacion],Consulta1[TipoCuenta],Consulta1[Direccion],Consulta1[Ciudad],Consulta1[Provincia_txt],Consulta1[CP],Consulta1[SalesDistrict],Consulta1[SalesDistrict_txt],Consulta1[SalesOffice],Consulta1[SalesOffice_txt],Consulta1[SalesGroup],Consulta1[SalesGroup_txt],Consulta1[CustomerGroup],Consulta1[CustomerGroup_txt],exists_in_tms
2026-03-02,3255368,33711316839,1 DE ABRIL S.A.,2010-12-13T00:00:00,SoldTo,SALTA 1563 Piso:0 Dpto:0 S:0 T:0,9 DE JULIO,Buenos Aires,6500,E00035,I - S - NUCLEO,E152,S - NUCLEO 1 - I,E14,0014 1 DE ABRIL S.A.,E2,Centro de Soluciones,True
2026-03-02,1801856,30502874353,ACEITERA GENERAL DEHEZA SA,2004-12-17T00:00:00,SoldTo,BUENOS AIRES 57,GENERAL DEHEZA,Cordoba,5923,E00038,I - S - RIO IV & SAN,E169,S-RIO IV&S.LUIS 3-I,EPS,0509 Aceitera Deheza,E2,Centro de Soluciones,True
2026-03-02,1801857,30502874353,ACEITERA GENERAL DEHEZA SA,2004-12-17T00:00:00,SoldTo,INTENDENTE PASCUAL URQUIZA 149,GENERAL DEHEZA,Cordoba,5923,E00038,I - S - RIO IV & SAN,E167,S-RIO IV&S.LUIS 1-I,E94,0094 Aceitera Deheza,E2,Centro de Soluciones,True
2026-03-02,1828994,30502874353,ACEITERA GENERAL DEHEZA SA,2006-01-17T00:00:00,ShipTo,JUNIN S/N,VILLA HUIDOBRO,Cordoba,6275,E00037,I - S - CORDOBA ESTE,E170,S-RIO IV&S.LUIS 4-I,EVV,0668 Aceitera Deheza,E2,Centro de Soluciones,True
2026-03-02,1829233,30502874353,ACEITERA GENERAL DEHEZA SA,2006-01-27T00:00:00,SoldTo,BV RIVADAVIA 300,HERNANDO,Cordoba,5929,E00037,I - S - CORDOBA ESTE,E165,S-CORDOBA ESTE 4-I,EVV,0668 Aceitera Deheza,E2,Centro de Soluciones,True
2026-03-02,1829234,30502874353,ACEITERA GENERAL DEHEZA SA,2006-01-27T00:00:00,SoldTo,Av. Libertad y San Martin,CORRALITO,Cordoba,5853,E00031,I - N - CENTRO,E136,N - CENTRO 1 - I,EVW,0669 Aceitera Deheza,E2,Centro de Soluciones,True
2026-03-02,1876446,30502874353,ACEITERA GENERAL DEHEZA SA,2007-05-10T00:00:00,SoldTo,RUTA NAC 9 KM 747,COLONIA CAROYA,Cordoba,5223,E00031,I - N - CENTRO,E137,N - CENTRO 2 - I,EZK,1994 - ACEITERA GENE,E2,Centro de Soluciones,True
2026-03-02,1876526,30502874353,ACEITERA GENERAL DEHEZA SA,2007-05-11T00:00:00,SoldTo,BV SAN MARTIN 201,DESPENADEROS,Cordoba,5121,E00031,I - N - CENTRO,E136,N - CENTRO 1 - I,EAO,AGD - DESPENADERO,E2,Centro de Soluciones,True
2026-03-02,3119605,30502874353,ACEITERA GENERAL DEHEZA SA,2010-08-02T00:00:00,SoldTo,SAN MARTIN 535,GENERAL CABRERA,Cordoba,5809,E00038,I - S - RIO IV & SAN,E169,S-RIO IV&S.LUIS 3-I,EAP,AGD - GENERAL CABRER,E2,Centro de Soluciones,True
2026-03-02,3302288,30502874353,ACEITERA GENERAL DEHEZA SA,2011-10-28T00:00:00,SoldTo,SAN MARTIN 1395,LA CARLOTA,Cordoba,2670,E00038,I - S - RIO IV & SAN,E169,S-RIO IV&S.LUIS 3-I,EZM,1996 - ACEITERA GENE,E2,Centro de Soluciones,True
